"","lemma","Polarity","Emotion_Category","Personality"
"940","避重就輕","N","4",NA
"941","避重就輕","N","",NA
"942","髀肉復生","N","1",4
"943","編造","N","4",4
"944","鞭長莫及","N","2",NA
"945","貶斥","N","4",4
"946","貶低","N","",NA
"947","貶抑","N","4",NA
"948","貶意","N","",NA
"949","褊急","N","4",3
"950","褊狹","N","4",4
"951","便捷","P","",NA
"952","便捷","P","",NA
"953","便宜","P","",NA
"954","遍體麟身","N","",NA
"955","遍尋不著","N","2",NA
"956","辯白","N","4",NA
"957","辯駁","N","4",NA
"958","辯護","N","4",NA
"959","辯解","N","4",NA
"960","變得更好","P","",NA
"961","變得更好","P","",NA
"962","變得很精","","4",NA
"963","變動","0","",NA
"964","變更好","P","",NA
"965","變化如此大","N","",NA
"966","變了調","N","",NA
"967","變了樣","","4",NA
"968","變了一個樣","N","",NA
"969","變苗條","P","1",NA
"970","變輕鬆","P","",NA
"971","變色","N","",NA
"972","變態","N","4",NA
"973","變態","N","3",NA
"974","變通","P","",NA
"975","變味","N","",NA
"976","變質","N","",NA
"977","標榜","P","1",NA
"978","標準很嚴格","N","",NA
"979","飆","N","",NA
"980","飆粗口","","4",NA
"981","飆罵","N","4",NA
"982","飆罵","N","2",NA
"983","驃悍","P","",4
"984","表裡如一","P","1",1
"985","表示滿意","P","1",NA
"986","表示願意","P","",NA
"987","表現不穩定","N","",NA
"988","表現不穩定","N","",NA
"989","表現堅強","N","2",NA
"990","表現優異","P","1",NA
"991","表現優異","P","1",NA
"992","表揚","P","1",1
"993","表彰","P","1",1
"994","婊子","N","4",NA
"995","憋","N","",NA
"996","憋悶","N","2",NA
"997","憋氣","N","2",NA
"998","憋屈","N","2",NA
"999","鱉三","N","4",NA
"1000","別擔心","P","",NA
"1001","別放棄","","4",NA
"1002","別放棄","N","3",NA
"1003","別急","N","",NA
"1004","別緊張","N","3",NA
"1005","別開玩笑","N","",NA
"1006","別鬧","N","",NA
"1007","別怕","P","",NA
"1008","別糗","N","",NA
"1009","別人都可以","","4",NA
"1010","別人死活","","4",NA
"1011","別太在意","N","",NA
"1012","別無良策","N","",NA
"1013","別有洞天","P","",NA
"1014","別有用心","N","4",4
"1015","別在這","","4",NA
"1016","別這樣","N","3",NA
"1017","別指望","N","",NA
"1018","別作亂","","4",NA
"1019","蹩腳","N","",NA
"1020","彆扭","N","4",NA
"1021","賓利","P","",NA
"1022","瀕臨破表","N","4",NA
"1023","瀕臨破表","N","2",NA
"1024","瀕臨危機","N","4",NA
"1025","瀕臨危機","N","2",NA
"1026","冰冷","N","",NA
"1027","冰清玉潔","P","1",1
"1028","冰雪聰明","P","1",1
"1029","兵不血刃","P","",NA
"1030","秉持","P","",NA
"1031","並非","N","",NA
"1032","並沒有","N","",NA
"1033","並沒有不一樣","N","",NA
"1034","並沒有感覺","N","2",NA
"1035","並無矛盾","P","",NA
"1036","病變","N","3",NA
"1037","病倒","N","2",NA
"1038","病毒","N","2",NA
"1039","病毒","N","",NA
"1040","病毒陽性","","4",NA
"1041","病毒陽性","N","3",NA
"1042","病了","N","",NA
"1043","病情反而加重","","4",NA
"1044","病情反而加重","N","3",NA
"1045","病人走了","N","2",NA
"1046","病史","N","3",NA
"1047","病史","N","2",NA
"1048","病逝","N","2",NA
"1049","病逝","N","2,3",NA
"1050","病癒後","P","1",NA
"1051","波及","N","",NA
"1052","波及","N","",NA
"1053","波瀾不驚","P","",NA
"1054","剝奪","N","",NA
"1055","啵","0","",NA
"1056","撥弄","N","4",4
"1057","勃然","N","4",NA
"1058","勃然大怒","N","4",NA
"1059","博愛","P","",NA
"1060","博學","P","",NA
"1061","搏鬥","N","",NA
"1062","駁斥","N","4",NA
"1063","駁回","N","4",NA
"1064","駁回","N","2",NA
"1065","跛","N","",NA
"1066","跛腳","N","",NA
"1067","捕捉到我的視線","P","",NA
"1068","補槍","N","",NA
"1069","補助","P","1",NA
"1070","補助","P","1",NA
"1071","補足","P","1",NA
"1072","補足","P","1",NA
"1073","不安","N","3",NA
"1074","不安好心","N","4",4
"1075","不安全","N","3",NA
"1076","不幫忙","N","4",NA
"1077","不幫忙","N","2",NA
"1078","不抱什麼期待","N","",NA
"1079","不被看好","N","2",NA
"1080","不必在意","P","",NA
"1081","不便","N","",NA
"1082","不辨菽麥","N","4",4
"1083","不才","N","4",4
"1084","不參與","N","",NA
"1085","不差","P","1",NA
"1086","不差","P","1",NA
"1087","不常回家","N","2",NA
"1088","不成","N","",NA
"1089","不成材","N","2",NA
"1090","不成功","N","2",NA
"1091","不成器","N","2",NA
"1092","不成文","N","",NA
"1093","不成問題","P","",NA
"1094","不成問題","P","",NA
"1095","不承認","N","4",NA
"1096","不誠實","N","4",NA
"1097","不持久","N","2",NA
"1098","不遲","P","",NA
"1099","不恥下問","P","1",2
"1100","不齒","N","4",NA
"1101","不存在了","N","",NA
"1102","不錯","P","1",NA
"1103","不錯","P","1",NA
"1104","不錯看","P","",NA
"1105","不錯嘛","P","1",NA
"1106","不錯喔","P","1",NA
"1107","不打算","N","",NA
"1108","不打算","N","",NA
"1109","不大","N","",NA
"1110","不大一樣","N","3",NA
"1111","不代表","N","",NA
"1112","不但","N","",NA
"1113","不當","N","",NA
"1114","不當處置","N","4",NA
"1115","不當處置","N","2",NA
"1116","不當使用","N","4",NA
"1117","不當行為","N","4",NA
"1118","不當行為","N","2",NA
"1119","不到","N","",NA
"1120","不道德","N","4",NA
"1121","不得不","N","3",NA
"1122","不得不做","","4",NA
"1123","不得不做","N","3",NA
"1124","不得而","N","",NA
"1125","不得了","C","",NA
"1126","不得人心","N","2",NA
"1127","不得善終","","4",NA
"1128","不得要領","N","",NA
"1129","不得已","N","",NA
"1130","不得志","N","2",NA
"1131","不定","N","",NA
"1132","不懂","N","",NA
"1133","不懂不要亂說","","4",NA
"1134","不懂反省","N","",NA
"1135","不動","N","",NA
"1136","不動聲色","0","",NA
"1137","不端","N","4",4
"1138","不斷啜泣","N","2",NA
"1139","不斷啜泣","N","3",NA
"1140","不斷傳開","0","5",NA
"1141","不斷傳開","N","5",NA
"1142","不斷的","N","",NA
"1143","不斷發抖","","4",NA
"1144","不斷發抖","N","3",NA
"1145","不對勁","N","3",NA
"1146","不發一語","N","4",NA
"1147","不發一語","N","",NA
"1148","不法","N","4",NA
"1149","不法","N","2",NA
"1150","不法分子","N","4",NA
"1151","不凡","P","1",1
"1152","不方便","N","",NA
"1153","不方便多談","N","",NA
"1154","不放心","N","3",NA
"1155","不費","P","",NA
"1156","不費","P","",NA
"1157","不費一兵一卒","P","",NA
"1158","不費一槍一彈","P","1",NA
"1159","不費一槍一彈","P","1",NA
"1160","不服","N","",NA
"1161","不符","N","",NA
"1162","不符資格","N","2",NA
"1163","不符資格","N","3",NA
"1164","不負責","","4",NA
"1165","不負責任","N","4",NA
"1166","不該","N","",NA
"1167","不該","N","2",NA
"1168","不該存在","N","2",NA
"1169","不該開始","N","",NA
"1170","不該期待","N","2",NA
"1171","不甘","N","4",NA
"1172","不甘+心","N","4",NA
"1173","不甘落後","N","",NA
"1174","不甘受辱","N","4",NA
"1175","不甘受辱","N","2",NA
"1176","不甘心","","4",NA
"1177","不甘心","N","4",NA
"1178","不敢","N","2,3",NA
"1179","不敢前進","N","3",NA
"1180","不敢踏出第一步","N","",NA
"1181","不敢相信","0","5",NA
"1182","不敢找","N","3",NA
"1183","不敢置信","0","5",NA
"1184","不幹","N","4",NA
"1185","不幹","N","2",NA
"1186","不幹了","N","4",NA
"1187","不幹了","N","2",NA
"1188","不告而","N","",NA
"1189","不告而別","N","2",NA
"1190","不給我","N","2",NA
"1191","不跟別人比較","P","",NA
"1192","不公","N","4",NA
"1193","不公不義","N","4",NA
"1194","不公不義","N","2",NA
"1195","不公平","N","4",NA
"1196","不公平","N","4",NA
"1197","不公正","N","4",NA
"1198","不恭","N","4",NA
"1199","不共戴天","N","4",NA
"1200","不苟言笑","N","4",NA
"1201","不夠","N","4",NA
"1202","不夠","N","2",NA
"1203","不夠實際","N","",NA
"1204","不顧","N","4",NA
"1205","不顧","N","2",NA
"1206","不顧一切","P","",NA
"1207","不乖","N","",NA
"1208","不管","N","4",NA
"1209","不管","N","",NA
"1210","不管颳風下雨","P","",NA
"1211","不管了","N","4",NA
"1212","不管如何","N","",NA
"1213","不管三七二十一","N","",NA
"1214","不管三七二十一","N","4",NA
"1215","不管什麼問題都丟給","","4",NA
"1216","不管他","N","",NA
"1217","不管我在哪","P","",NA
"1218","不光彩","N","4",NA
"1219","不過奇怪","0","5",NA
"1220","不過是","N","",NA
"1221","不過意","N","2",NA
"1222","不過至少","P","",NA
"1223","不害羞","0","",NA
"1224","不寒而慄","N","3",NA
"1225","不好","N","",NA
"1226","不好的事","N","",NA
"1227","不好的習慣","","4",NA
"1228","不好過","N","",NA
"1229","不好睡","N","",NA
"1230","不好意思","N","2",NA
"1231","不好意思","P",NA,NA
"1232","不合","N","",NA
"1233","不合格","N","2",NA
"1234","不合理","","2,4",NA
"1235","不合理","N","4",NA
"1236","不合時宜","N","2",NA
"1237","不和","N","4",NA
"1238","不和諧","N","4",NA
"1239","不哼不哈","0","",NA
"1240","不後悔","P","",NA
"1241","不懷好意","N","",NA
"1242","不歡而散","N","4",NA
"1243","不歡而散","N","2",NA
"1244","不慌不亂","P","",NA
"1245","不慌不忙","P","",NA
"1246","不回","","4",NA
"1247","不回來","N","2",NA
"1248","不悔改","N","4",NA
"1249","不會擔心","P","",NA
"1250","不會跟我說","N","",NA
"1251","不會鼓勵","N","",NA
"1252","不會好到哪去","N","2",NA
"1253","不會去自己","","4",NA
"1254","不會停止","N","",NA
"1255","不會有人會","N","",NA
"1256","不會在乎","N","",NA
"1257","不會支持","","4",NA
"1258","不會自己","","4",NA
"1259","不會自己去","","4",NA
"1260","不會走掉","P","",NA
"1261","不諱","N","",NA
"1262","不積極","","4",NA
"1263","不羈","P","1",1
"1264","不及看清","N","",NA
"1265","不吉利","N","",NA
"1266","不假辭色","N","4",NA
"1267","不見","N","2",NA
"1268","不見棺材不掉淚","N","2",NA
"1269","不見好轉","","4",NA
"1270","不見好轉","N","3",NA
"1271","不見了","N","3",NA
"1272","不見人影","","4",NA
"1273","不見人影","N","3",NA
"1274","不見陽光","N","",NA
"1275","不見蹤影","N","4",NA
"1276","不見蹤影","N","2",NA
"1277","不講理","","4",NA
"1278","不解","0","5",NA
"1279","不盡人意","N","4",NA
"1280","不緊繃","P","",NA
"1281","不近人情","N","2",NA
"1282","不禁傷心落淚","N","2",NA
"1283","不禁傷心落淚","N","3",NA
"1284","不經意","N","2",2
"1285","不敬","N","4",NA
"1286","不久的將來","P","",NA
"1287","不就是你","","4",NA
"1288","不拘小節","0","",NA
"1289","不覺得","N","",NA
"1290","不堪","N","2",NA
"1291","不堪","N","3",NA
"1292","不堪負荷","N","",NA
"1293","不堪回首","N","2",NA
"1294","不堪入目","N","3",NA
"1295","不靠譜","N","",NA
"1296","不可或缺","P","",NA
"1297","不可救藥","N","4",NA
"1298","不可考","N","",NA
"1299","不可靠","N","4",NA
"1300","不可理喻","N","4",4
"1301","不可能了","N","2",NA
"1302","不可輕忽","","4",NA
"1303","不可輕忽","N","3",NA
"1304","不可饒恕","","4",NA
"1305","不可思義","0","5",NA
"1306","不可思議","0","5",NA
"1307","不可思議","0","5",NA
"1308","不可挽回","N","2",NA
"1309","不可信","N","4",4
"1310","不可一世","N","4",4
"1311","不可以","N","",NA
"1312","不可原諒","N","4",NA
"1313","不可原諒","N","2",NA
"1314","不可終日","N","",NA
"1315","不客氣的","N","4",NA
"1316","不客氣的","N","2",NA
"1317","不肯","N","",NA
"1318","不肯打拚","N","",NA
"1319","不肯休息","N","",NA
"1320","不吭聲","N","4",NA
"1321","不快","N","4",NA
"1322","不快樂","N","2",NA
"1323","不愧","P","",NA
"1324","不愧為","P","",NA
"1325","不老實","N","4",NA
"1326","不樂見","N","",NA
"1327","不了了之","N","",NA
"1328","不理","N","",NA
"1329","不理性","N","",NA
"1330","不利","N","",NA
"1331","不良","N","",NA
"1332","不良示範","N","4",NA
"1333","不良示範","N","2",NA
"1334","不良影響","N","",NA
"1335","不良影響","N","",NA
"1336","不亮或沒開","N","3",NA
"1337","不料","0","5",NA
"1338","不料","0","5",NA
"1339","不吝","N",NA,NA
"1340","不吝","P","1",NA
"1341","不靈活","N","2",NA
"1342","不靈活","N","3",NA
"1343","不領情","N","4",NA
"1344","不領情","N","2",NA
"1345","不留神","N","2",2
"1346","不露聲色","N","4",4
"1347","不滿","N","4",NA
"1348","不滿意","N","",NA
"1349","不滿足","N","2",NA
"1350","不美滿","N","2",NA
"1351","不眠不休","P","",NA
"1352","不名譽","N","",NA
"1353","不明","N","3",NA
"1354","不明白","N","",NA
"1355","不明不白","N","5",NA
"1356","不明覺厲","P","5",NA
"1357","不明智","N","2",NA
"1358","不摸頭","0","5",NA
"1359","不睦","N","",NA
"1360","不耐","N","4",NA
"1361","不耐煩","N","4",NA
"1362","不撓","P","1",NA
"1363","不能動","N","3",NA
"1364","不能見面","N","2",NA
"1365","不能解決問題","N","4",NA
"1366","不能解決問題","N","2",NA
"1367","不能解釋","N","",NA
"1368","不能亂動","N","3",NA
"1369","不能沒有你","N","2",NA
"1370","不能沒有你","N","3",NA
"1371","不能配合","N","",NA
"1372","不能認同","N","",NA
"1373","不能少","P","",NA
"1374","不能疏忽","N","3",NA
"1375","不能說太多","N","3",NA
"1376","不能偷懶","P","",NA
"1377","不能擁有","N","",NA
"1378","不能住人","N","",NA
"1379","不偏不倚","P","1",1
"1380","不平","N","4",NA
"1381","不平等","N","4",NA
"1382","不平凡","P","1",NA
"1383","不平則鳴","N","",NA
"1384","不破壞和諧","P","",NA
"1385","不起勁","N","2",NA
"1386","不起訴","C","",NA
"1387","不起眼","N","4",NA
"1388","不巧","N","2",NA
"1389","不切實際","N","4",NA
"1390","不親","N","2",NA
"1391","不清楚","0","5",NA
"1392","不清楚","N","3",NA
"1393","不輕","N","",NA
"1394","不輕易放棄","P","",NA
"1395","不情願","N","2",NA
"1396","不求快","P","",NA
"1397","不屈","P","1",NA
"1398","不屈不撓","P","1",NA
"1399","不去做","P","",NA
"1400","不確定","N","3",NA
"1401","不然","","4",NA
"1402","不然呢","N","4",NA
"1403","不人道","N","2",NA
"1404","不仁","N","",NA
"1405","不忍","N","2",NA
"1406","不忍","P",NA,NA
"1407","不忍心","N","2",NA
"1408","不忍心","N","3",NA
"1409","不認帳","N","2",NA
"1410","不認真思考","N","4",NA
"1411","不認真思考","N","2",NA
"1412","不容忽視","0","",NA
"1413","不容易","N","2",NA
"1414","不如","N","",NA
"1415","不三不四","N","4",4
"1416","不上不下","N","",NA
"1417","不上台面","N","",NA
"1418","不捨","N","2",NA
"1419","不捨","N","3",NA
"1420","不甚了了","N","",NA
"1421","不慎","","4",NA
"1422","不慎","N","3",NA
"1423","不生氣","P","",NA
"1424","不聲不響","0","",NA
"1425","不聲張自己的經歷","P","",NA
"1426","不省人事","N","",NA
"1427","不時傳來","N","",NA
"1428","不實","N","4",NA
"1429","不實言論","N","",NA
"1430","不實言論","N","",NA
"1431","不實謠言","N","",NA
"1432","不實謠言","N","",NA
"1433","不是+滋味","N","4",NA
"1434","不是啊","N","4",NA
"1435","不是非常好","N","",NA
"1436","不是給你們這種","N","4",NA
"1437","不是很暢通","N","",NA
"1438","不是很方便","N","",NA
"1439","不是很好","N","2",NA
"1440","不是很好","N","3",NA
"1441","不是嗎","N","",NA
"1442","不是沒有發生過","N","",NA
"1443","不是你的","N","",NA
"1444","不是任何人的錯","N","",NA
"1445","不是奢望","N","2",NA
"1446","不是味","N","2",NA
"1447","不是味兒","N","4",NA
"1448","不是應該","N","",NA
"1449","不是真的","N","2",NA
"1450","不是真的","N","3",NA
"1451","不適","N","",NA
"1452","不適合","N","",NA
"1453","不適合","N","",NA
"1454","不適合生存","N","",NA
"1455","不適應","N","",NA
"1456","不收錢","P","",NA
"1457","不受歡迎","N","2",NA
"1458","不受約制","N","2",NA
"1459","不受約制","N","4",NA
"1460","不受支持","N","2",NA
"1461","不舒服","","2,4",NA
"1462","不舒服","N","3",NA
"1463","不熟","N","",NA
"1464","不熟練","N","",NA
"1465","不屬於我","N","2",NA
"1466","不爽","N","4",NA
"1467","不爽快","N","4",NA
"1468","不順","N","",NA
"1469","不順從","N","4",NA
"1470","不順眼","N","4",NA
"1471","不死","N","",NA
"1472","不送","N","",NA
"1473","不蘇湖","N","2",NA
"1474","不太到","N","",NA
"1475","不太好","N","",NA
"1476","不太好過","N","2",NA
"1477","不太好過","N","3",NA
"1478","不太好看","N","",NA
"1479","不太會表達情感","P","",NA
"1480","不太會用","N","",NA
"1481","不太可能","N","",NA
"1482","不太樂觀","N","3",NA
"1483","不太穩定","N","",NA
"1484","不體諒","","4",NA
"1485","不貼心","","4",NA
"1486","不聽話","N","4",NA
"1487","不聽話","N","2",NA
"1488","不聽使喚","N","",NA
"1489","不停擴散","N","",NA
"1490","不停擴散","N","",NA
"1491","不通","N","",NA
"1492","不同凡響","P","1",1
"1493","不同意","N","4",NA
"1494","不同種族","P","1",NA
"1495","不同種族","P","1",NA
"1496","不妥","N","4",NA
"1497","不妥","N","2",NA
"1498","不完善","N","2",NA
"1499","不枉費","P","",NA
"1500","不為人知","0","",NA
"1501","不文雅","N","4",NA
"1502","不聞不問","N","4",NA
"1503","不聞不問","N","2",NA
"1504","不穩","N","",NA
"1505","不希望看見","N","",NA
"1506","不惜","N","",NA
"1507","不惜","P","1",NA
"1508","不習慣","N","",NA
"1509","不喜歡","N","",NA
"1510","不相聞問","N","2",NA
"1511","不祥","N","",NA
"1512","不詳","0","5",NA
"1513","不詳","N","",NA
"1514","不想","N","",NA
"1515","不想承認","N","",NA
"1516","不想等","N","",NA
"1517","不想放棄","P","",NA
"1518","不想和妳說話","","4",NA
"1519","不想繳費","","4",NA
"1520","不想哭出聲來","N","2",NA
"1521","不想買了","N","",NA
"1522","不想面對","","4",NA
"1523","不想起床","","4",NA
"1524","不想讓我睡覺","N","",NA
"1525","不想上班","N","",NA
"1526","不想再","N","2",NA
"1527","不想再看到你","","4",NA
"1528","不像話","N","4",NA
"1529","不像其他","N","",NA
"1530","不像想的那麼容易","N","",NA
"1531","不小心","0","5",NA
"1532","不小心","N",NA,NA
"1533","不曉得","0","5",NA
"1534","不孝","N","2",NA
"1535","不孝","N","4",NA
"1536","不肖","N","4",4
"1537","不肖子","N","4",NA
"1538","不屑","N","4",NA
"1539","不屑一顧","N","",NA
"1540","不信這套","N","",NA
"1541","不行的話","N","",NA
"1542","不幸","N","2",NA
"1543","不幸病逝","N","2",NA
"1544","不幸病逝","N","3",NA
"1545","不幸中的大幸","P","",NA
"1546","不修邊幅","N","",1
"1547","不須指望","N","",NA
"1548","不需要知道","","4",NA
"1549","不許","N","4",NA
"1550","不學無術","N","4",4
"1551","不遜","N","4",4
"1552","不言不語","N","",NA
"1553","不言而喻","P","",NA
"1554","不搖","P","",NA
"1555","不要","N","",NA
"1556","不要動","","4",NA
"1557","不要靠近","N","3",NA
"1558","不要來","N","",NA
"1559","不要臉","N","4",4
"1560","不要亂","","4",NA
"1561","不要那樣","N","",NA
"1562","不要期望","N","",NA
"1563","不要輕易嘗試","N","3",NA
"1564","不要去","N","",NA
"1565","不要上來","N","3",NA
"1566","不要妄想","N","",NA
"1567","不要問","N","",NA
"1568","不要想太多","P","",NA
"1569","不要再","N","2",NA
"1570","不要再打了","N","3",NA
"1571","不要再想著","","4",NA
"1572","不要這樣","N","2",NA
"1573","不要這樣","N","",NA
"1574","不要做傻事","N","3",NA
"1575","不藥而癒","P","1",NA
"1576","不藥而癒","P","1",NA
"1577","不宜","N","",NA
"1578","不以為然","N","4",4
"1579","不以為意","P","",NA
"1580","不亦樂乎","P","1",NA
"1581","不易發覺","","4",NA
"1582","不易發覺","N","3",NA
"1583","不易排出體外","","4",NA
"1584","不易排出體外","N","3",NA
"1585","不意外","N","4",NA
"1586","不義","N","4",4
"1587","不翼而飛","0","5",NA
"1588","不翼而飛","N","5",NA
"1589","不應","N","4",NA
